root_id,primary_type,class,nt_type,group
720575940618326292,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940618394453,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940618531099,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940618671495,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940618691742,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940618844353,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940618894528,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940618992449,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940619026241,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940619115845,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940619463088,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940619472225,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940619640149,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940619684299,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940619695809,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940619704656,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940619916720,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940619968647,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940620029575,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620126076,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620223398,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940620268123,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620273279,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620305502,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620311430,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940620326336,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620422494,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940620463536,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620577652,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940620623725,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620775233,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620811340,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620936925,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940620996621,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940621146294,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML.MB_VL
720575940621183768,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940621460645,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940621538431,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940621554815,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940621594723,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940621612159,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940621661197,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940622060426,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940622075274,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940622116428,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940622145277,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940622307051,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940622350472,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940622428087,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940622670835,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940622768152,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940622781389,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940622920328,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940622998920,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940623014328,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940623331210,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940623351443,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940623369668,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940623927444,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940623965513,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940624243388,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940624563075,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940624574922,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940624894052,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940624894308,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940624945666,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940624994941,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940625002526,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940625146882,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940625235033,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940625317139,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940625318531,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940625507888,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940625561374,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940625608329,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940626002494,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940626363791,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940626803279,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940626855171,KCapbp-ap1,Kenyon_Cell,ACH,MB_VL.MB_ML
720575940626874097,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940626896643,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940626946033,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940626993001,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940627147578,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940627153930,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940627158098,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940627210373,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940627230986,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940627282408,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940627483179,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940627571972,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940627576488,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940628002822,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940628071409,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940628308215,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940628312049,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940628363642,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940628367836,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940628476716,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940628582915,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940628608272,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940628610811,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940628644855,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940628716588,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940628788496,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940628800762,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629036997,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940629067351,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629233145,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629260406,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940629445626,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629471610,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629482362,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629483095,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629735163,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629765647,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629788983,KCapbp-ap1,Kenyon_Cell,ACH,SCL.MB_ML
720575940629803264,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629888000,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940629899820,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940630067255,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940630411535,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940630428921,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940630450852,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940630634799,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940630682927,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940630754252,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940630793413,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940631056971,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940631143383,KCapbp-ap1,Kenyon_Cell,ACH,SCL.MB_ML
720575940631351619,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940631387463,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940631498819,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940631502509,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940631549743,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940631576109,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940631603267,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940631661281,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940631774776,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940631782712,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940632001607,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940632114658,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940632144813,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940632149039,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
