root_id,primary_type,class,nt_type,group
720575940627626244,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940627805928,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940628045318,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940628411002,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
720575940628431042,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940628514156,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940628826873,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629319106,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940629507706,KCab-p,Kenyon_Cell,ACH,MB_ML.MB_PED
720575940630263619,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940630331244,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940630705745,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940630775891,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940630923693,KCab-p,Kenyon_Cell,ACH,SCL.MB_PED
720575940630949187,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940631093007,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
720575940631485251,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940631843980,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940632221779,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940632366623,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
720575940632437331,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940632985495,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940633103059,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940633226603,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940633550305,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940634351200,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940634514533,KCab-p,Kenyon_Cell,ACH,MB_PED.MB_ML
