root_id,primary_type,class,nt_type,group,input_neuropils
720575940623750325,MBON25,MBON,GLUT,SMP.MB_PED,CRE_L|CRE_R|MB_ML_R|MB_PED_R|SMP_L|SMP_R
720575940623841463,MBON19,MBON,ACH,SMP,CRE_L|MB_VL_L|SIP_L|SMP_L
720575940623905719,MBON12,MBON,ACH,MB_VL.SMP,CRE_R|MB_ML_R|MB_VL_R|SMP_R
720575940624117245,MBON01,MBON,GLUT,MB_ML.SMP,CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_VL_L|SMP_L|SMP_R
720575940624185095,MBON02,MBON,GLUT,MB_ML.SIP,CRE_L|CRE_R|EB|LAL_L|LAL_R|MB_ML_L|MB_ML_R|SIP_L|SLP_L|SMP_L
720575940624280328,MBON33,MBON,ACH,SMP.CAN,AOTU_R|CAN_R|CRE_R|FLA_R|GA_R|GNG|IB_R|ICL_R|LAL_R|MB_ML_R|MB_VL_R|SAD|SIP_R|SMP_R|SPS_L|SPS_R|VES_R
720575940624489964,MBON25,MBON,GLUT,MB_ML.SMP,CRE_L|MB_ML_L|MB_PED_L|MB_VL_L|SMP_L|SMP_R
720575940624539284,MBON18,MBON,ACH,MB_VL.SIP,CRE_L|LH_L|LH_R|MB_VL_L|MB_VL_R|SIP_L|SIP_R|SLP_L|SLP_R|SMP_L|SMP_R
720575940624590316,MBON03,MBON,GLUT,MB_ML.CRE,CRE_L|CRE_R|EB|MB_ML_L|MB_ML_R|SMP_L
720575940624659943,MBON25,MBON,GLUT,SMP,CRE_L|CRE_R|MB_ML_R|MB_PED_R|MB_VL_R|SMP_L|SMP_R
720575940624694503,MBON03,MBON,,MB_ML.CRE,CRE_L|CRE_R|EB|MB_ML_L|MB_ML_R|SMP_R
720575940624696810,MBON15-like,MBON,ACH,SMP.LH,CRE_L|LH_L|LH_R|MB_ML_L|MB_VL_L|MB_VL_R|SIP_L|SIP_R|SLP_L|SLP_R|SMP_L|SMP_R
720575940626109315,MBON19,MBON,ACH,SMP,CRE_R|MB_VL_R|SIP_R|SMP_R
720575940626315010,MBON13,MBON,ACH,MB_VL.SMP,CRE_R|MB_VL_R|SIP_R|SMP_R
720575940626744921,MBON16,MBON,ACH,MB_VL.LH,LH_L|LH_R|MB_CA_R|MB_VL_R|PLP_L|PLP_R|SIP_L|SIP_R|SLP_R|SMP_L|SMP_R
720575940626833021,MBON19,MBON,ACH,SMP,CRE_L|MB_VL_L|SIP_L|SMP_L
720575940627144069,MBON25,MBON,GLUT,MB_ML.CRE,CRE_L|CRE_R|EB|MB_ML_L|MB_ML_R|MB_PED_L|SMP_L|SMP_R
720575940628734376,MBON04,MBON,GLUT,CRE.SMP,CRE_L|CRE_R|EB|MB_ML_L|MB_ML_R|MB_VL_R|SCL_R|SIP_R|SMP_L|SMP_R
720575940628757547,MBON15-like,MBON,ACH,MB_VL.LH,CRE_L|LH_L|LH_R|MB_ML_L|MB_VL_L|PLP_L|SIP_L|SIP_R|SLP_L|SMP_L
720575940628783363,MBON07,MBON,GLUT,MB_ML.SLP,CRE_R|MB_ML_R|MB_PED_R|MB_VL_R|SIP_R|SLP_R|SMP_R
720575940629422086,MBON09,MBON,GABA,MB_ML.CRE,AL_L|CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_VL_L|SMP_L|SMP_R
720575940629529722,MBON10,MBON,GLUT,CRE,CRE_L|MB_ML_L|MB_VL_L|SIP_L|SMP_L
720575940629585602,MBON10,MBON,GABA,CRE,CRE_R|MB_ML_R|SMP_R
720575940629856515,MBON09,MBON,GABA,MB_ML.CRE,CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_VL_L|MB_VL_R|SMP_L|SMP_R
720575940629981440,MBON26,MBON,ACH,LAL.AL,AL_L|AL_R|CRE_L|FLA_L|LAL_L|LAL_R|MB_ML_L|NO|SIP_L|SMP_L|VES_L|VES_R
720575940630075703,MBON12,MBON,ACH,MB_VL.SMP,CRE_L|MB_ML_L|MB_VL_L|SMP_L
720575940630496374,MBON05,MBON,GLUT,MB_ML,CRE_L|MB_ML_L|MB_PED_L|MB_VL_L|SIP_L|SMP_L
