root_id,primary_type,class,nt_type,group
720575940602553568,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940603174368,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604489649,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604550590,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605029250,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605436262,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605817522,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606201278,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606496011,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606850434,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940607698627,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608148693,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608281180,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608428555,KCapbp-ap2,Kenyon_Cell,ACH,MB_ML
720575940608505795,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608535747,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609208530,KCapbp-ap2,Kenyon_Cell,ACH,MB_VL
720575940609220291,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609399506,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940610012024,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940610142869,KCapbp-ap2,Kenyon_Cell,ACH,MB_ML
720575940610395438,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940610669786,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940610793395,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940610847842,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940611059609,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940611098517,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940611327254,KCapbp-ap2,Kenyon_Cell,ACH,MB_ML
720575940611453107,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940611724437,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940611960872,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612169709,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612240918,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940612362663,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940612650792,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612737233,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612740886,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940612846962,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612853354,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612879853,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613017059,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940613119459,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613152938,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613258975,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940613337640,KCapbp-ap2,Kenyon_Cell,ACH,MB_ML
720575940613460034,KCapbp-ap2,Kenyon_Cell,ACH,MB_VL.MB_ML
720575940613727399,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613737647,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613738415,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613954769,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940614131131,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940614229159,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940614229415,KCapbp-ap2,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940614229758,KCapbp-ap2,Kenyon_Cell,ACH,MB_VL
