odor,reward,mbon_output,veto_value,gating_factor,rpe,dopamine,weight_change_magnitude
DA1,1.0,0.04259706456800439,0.0,1.0,0.6860684812123831,0.6860684812123831,0.0121456806092653
DL3,1.0,0.00012083679930650008,0.9999999999999999,1.1102230246251565e-16,0.7174615122543455,0.7174615122543455,1.0170365142264262e-20
DA1,1.0,0.05345257657220881,0.0,1.0,0.7456619084523388,0.7456619084523388,0.016564766518351075
DL3,1.0,0.00016830433988649748,0.9999999999999999,1.1102230246251565e-16,0.7710955493027651,0.7710955493027651,1.1106971051314433e-20
DA1,1.0,0.06825775938342395,0.0,1.0,0.7939177366131052,0.7939177366131052,0.022521755999442946
DL3,1.0,0.0002328420661292444,0.9999999999999999,1.1102230246251565e-16,0.8145257301097286,0.8145257301097286,1.2024302940060663e-20
DA1,1.0,0.08838715356667054,0.0,1.0,0.8329847699451891,0.8329847699451891,0.030598555550088884
DL3,1.0,0.00032052444762578343,0.9999999999999999,1.1102230246251565e-16,0.8496859724262227,0.8496859724262227,1.3025573236045143e-20
DA1,1.0,0.11573539346949788,0.0,1.0,0.8646016397901309,0.8646016397901309,0.04158693980723199
DL3,1.0,0.00043969484164919415,0.9999999999999999,1.1102230246251565e-16,0.8781410361162761,0.8781410361162761,1.425575884319468e-20
DA1,1.0,0.15290478222743606,0.0,1.0,0.8901740277224212,0.8901740277224212,0.05656798432453971
DL3,1.0,0.0006017945059263242,0.9999999999999999,1.1102230246251565e-16,0.9011560231556731,0.9011560231556731,1.592309249305846e-20
DA1,1.0,0.20346386184132315,0.0,1.0,0.9108369569782645,0.9108369569782645,0.07701984557000514
DL3,1.0,0.0008225004628143474,0.9999999999999999,1.1102230246251565e-16,0.9197524387799751,0.9197524387799751,1.832002770565514e-20
DA1,1.0,0.27230231437805064,0.0,1.0,0.9275048925875996,0.9275048925875996,0.10496445573577355
DL3,1.0,0.0011232837281006703,0.9999999999999999,1.1102230246251565e-16,0.9347532800451116,0.9347532800451116,2.1838824548262254e-20
DA1,1.0,0.36611697540126675,0.0,1.0,0.9409118350651992,0.9409118350651992,0.14316719415490659
DL3,1.0,0.0015335397127379288,0.9999999999999999,1.1102230246251565e-16,0.9468191180189665,0.9468191180189665,2.6984166892823878e-20
DA1,1.0,0.4940763088264575,0.0,1.0,0.9516431299082433,0.9516431299082433,0.19540823539795993
DL3,1.0,0.0020934961922417336,0.9999999999999999,1.1102230246251565e-16,0.9564767234212268,0.9564767234212268,3.439668018692437e-20
DA1,1.0,0.6687274060621909,0.0,1.0,0.9601603236730419,0.9601603236730419,0.26685023787422496
DL3,1.0,0.0028581749144588023,0.9999999999999999,1.1102230246251565e-16,0.9641414331308233,0.9641414331308233,4.4902855988062656e-20
DA1,1.0,0.9072316162221921,0.0,1.0,0.9668200582015188,0.9668200582015188,0.3645344229661255
DL3,1.0,0.003902774758095658,0.9999999999999999,1.1102230246251565e-16,0.9701341496066089,0.9701341496066089,5.959692696205794e-20
DA1,1.0,1.2330435597237983,0.0,1.0,0.9718876910862243,0.9718876910862243,0.49804572593541063
DL3,1.0,0.005329960929439695,0.9999999999999999,1.1102230246251565e-16,0.9746935920166725,0.9746935920166725,7.995334825132746e-20
DA1,1.0,1.6781846374835894,0.0,1.0,0.9755460481775217,0.9755460481775217,0.6803967517030576
DL3,1.0,0.007279687198517126,0.9999999999999999,1.1102230246251565e-16,0.977984163672571,0.977984163672571,1.0797104372065204e-19
DA1,1.0,2.2863065981499844,0.0,1.0,0.977899440707164,0.977899440707164,0.9291875537421798
DL3,1.0,0.009942341565834827,0.9999999999999999,1.1102230246251565e-16,0.9800995542948817,0.9800995542948817,1.4635583358224698e-19
DA1,1.0,3.1167916873191244,0.0,1.0,0.9789728071780743,0.9789728071780743,1.2680988887779217
DL3,1.0,0.013576170958831771,0.9999999999999999,1.1102230246251565e-16,0.9810619502893081,0.9810619502893081,1.9874955551642578e-19
DA1,1.0,4.250187431246868,0.0,1.0,0.9787055678291304,0.9787055678291304,1.72876060832746
DL3,1.0,0.018530059939879332,0.9999999999999999,1.1102230246251565e-16,0.9808164809862776,0.9808164809862776,2.700115061317677e-19
DA1,1.0,5.795311343181322,0.0,1.0,0.9769395215444685,0.9769395215444685,2.3529850519962596
DL3,1.0,0.02527270936485162,0.9999999999999999,1.1102230246251565e-16,0.9792202966806568,0.9792202966806568,3.665480062369974e-19
DA1,1.0,7.898351781950449,0.0,1.0,0.9733999152306407,0.9733999152306407,3.1952327084147956
DL3,1.0,0.034428880572045475,0.9999999999999999,1.1102230246251565e-16,0.9760254948270046,0.9760254948270046,4.966641100771756e-19
DA1,1.0,10.754172557935895,0.0,1.0,0.9676687727863683,0.9676687727863683,4.3249236349762405
DL3,1.0,0.04682226311210079,0.9999999999999999,1.1102230246251565e-16,0.9708550732446194,0.9708550732446194,6.708683278233557e-19
DA1,1.0,14.61968342942521,0.0,1.0,0.9591498824907322,0.9591498824907322,5.82772651648616
DL3,1.0,0.06352203636902992,0.9999999999999999,1.1102230246251565e-16,0.9631713722052899,0.9631713722052899,9.019820528460954e-19
DA1,1.0,19.82836272802919,0.0,1.0,0.9470258722567318,0.9470258722567318,7.804110595467429
DL3,1.0,0.08588528163244788,0.9999999999999999,1.1102230246251565e-16,0.9522373997494262,0.9522373997494262,1.2047711473348248e-18
DA1,1.0,26.803485734854256,0.0,1.0,0.9302101740396294,0.9302101740396294,10.362083281223407
DL3,1.0,0.11557858326153404,0.9999999999999999,1.1102230246251565e-16,0.9370735780524049,0.9370735780524049,1.5946118939781132e-18
DA1,1.0,36.06486210943776,0.0,1.0,0.9073013581377267,0.9073013581377267,13.599112090832305
DL3,1.0,0.15454782585897056,0.9999999999999999,1.1102230246251565e-16,0.916416674498095,0.916416674498095,2.0844390862440975e-18
DA1,1.0,48.219415592092,0.0,1.0,0.8765555914561936,0.8765555914561936,17.56613125052023
DL3,1.0,0.2048848497490383,0.9999999999999999,1.1102230246251565e-16,0.8886951474608252,0.8886951474608252,2.678999966764509e-18
