odor,reward,mbon_output,veto_value,gating_factor,rpe,dopamine,weight_change_magnitude,replicate,seed
DA1,1.0,0.04259706456800439,0.0,1.0,0.6860684812123831,0.6860684812123831,0.0121456806092653,1,42
DL3,1.0,0.00012083679930650008,0.0,1.0,0.7174615122543455,0.7174615122543455,9.160650532984643e-05,1,42
DA1,1.0,0.05345267982075609,0.0,1.0,0.7456619083490903,0.7456619083490903,0.01656484457539946,1,42
DL3,1.0,0.00017157335957712746,0.0,1.0,0.7710955459408217,0.7710955459408217,0.00010270344888685748,1,42
DA1,1.0,0.06825804878683683,0.0,1.0,0.7939177332979527,0.7939177332979527,0.02252196816271921,1,42
DL3,1.0,0.0002410998087298558,0.0,1.0,0.8145257188683487,0.8145257188683487,0.00011425247339525166,1,42
DA1,1.0,0.08838776210901404,0.0,1.0,0.8329847592194048,0.8329847592194048,0.030598986222040412,1,42
DL3,1.0,0.0003361875223568622,0.0,1.0,0.849685947109942,0.849685947109942,0.0001271241210820817,1,42
DA1,1.0,0.11573653014494471,0.0,1.0,0.8646016158688029,0.8646016158688029,0.04158771555914017,1,42
DL3,1.0,0.000466129873546179,0.0,1.0,0.8781409881520491,0.8781409881520491,0.00014256669850994563,1,42
DA1,1.0,0.1529067704078828,0.0,1.0,0.8901739825664363,0.8901739825664363,0.05656929387810933,1,42
DL3,1.0,0.0006436656453150039,0.0,1.0,0.9011559406441474,0.9011559406441474,0.00016240562522925947,1,42
DA1,1.0,0.20346719565394222,0.0,1.0,0.9108368793840788,0.9108368793840788,0.0770219685640501,1,42
DL3,1.0,0.0008862461581250064,0.0,1.0,0.9197523051995128,0.9197523051995128,0.00018926804973966964,1,42
DA1,1.0,0.27230774102253363,0.0,1.0,0.927504766938539,0.927504766938539,0.10496780390275913,1,42
DL3,1.0,0.001217770346291889,0.0,1.0,0.9347530724743389,0.9347530724743389,0.00022680637965045606,1,42
DA1,1.0,0.3661256145979004,0.0,1.0,0.9409116396123072,0.9409116396123072,0.14317236985347837,1,42
DL3,1.0,0.00167095692627918,0.0,1.0,0.9468188046941501,0.9468188046941501,0.0002799206606143158,1,42
DA1,1.0,0.49408982503736676,0.0,1.0,0.9516428343996979,0.9516428343996979,0.1954161141134454,1,42
DL3,1.0,0.002290582563310478,0.0,1.0,0.9564762603771648,0.9564762603771648,0.00035504541050066673,1,42
DA1,1.0,0.6687482550786925,0.0,1.0,0.9601598860843696,0.9601598860843696,0.26686208325794264,1,42
DL3,1.0,0.0031378938374914465,0.0,1.0,0.9641407595820952,0.9641407595820952,0.00046061450198188556,1,42
DA1,1.0,0.9072633954249067,0.0,1.0,0.9668194202284608,0.9668194202284608,0.36455204498981303,1,42
DL3,1.0,0.004296603465620748,0.0,1.0,0.9701331816021491,0.9701331816021491,0.0006077995374512166,1,42
DA1,1.0,1.2330915008417678,0.0,1.0,0.9718867719410925,0.9718867719410925,0.4980716941172161,1,42
DL3,1.0,0.005881011791549413,0.0,1.0,0.9746922137351917,0.9746922137351917,0.0008115706054740056,1,42
DA1,1.0,1.6782562914441181,0.0,1.0,0.9755447360702285,0.9755447360702285,0.6804346745693809,1,42
DL3,1.0,0.008046954672065803,0.0,1.0,0.9779822155085336,0.9779822155085336,0.001092114423017897,1,42
DA1,1.0,2.2864127716744953,0.0,1.0,0.9778975811860058,0.9778975811860058,0.929242429453781,1,42
DL3,1.0,0.011006463495917546,0.0,1.0,0.9800968166039092,0.9800968166039092,0.001476664585370195,1,42
DA1,1.0,3.1169476953991238,0.0,1.0,0.9789701872481192,0.9789701872481192,1.2681775136164215,1,42
DL3,1.0,0.015047212006676221,0.0,1.0,0.9810581213113007,0.9810581213113007,0.0020018144705580914,1,42
